sd_m_2,d12,N 1,N 2,time1,time2
0.01,"1,00E-04",0,2005.2,240000,"2,00E+08"
0.01,"6,00E-04",0,1949,304000,"2,00E+08"
0.01,0.0011,295.6,1695.8,160116000,"2,00E+08"
0.01,0.0016,1882.2,0,"2,00E+08",808000
0.06,"1,00E-04",0,1954.6,236000,"2,00E+08"
0.06,"6,00E-04",0,1890,316000,"2,00E+08"
0.06,0.0011,560.8,1392.4,"2,00E+08","2,00E+08"
0.06,0.0016,1907,0,"2,00E+08",580000
0.11,"1,00E-04",0,1947,232000,"2,00E+08"
0.11,"6,00E-04",0,1896.6,308000,"2,00E+08"
0.11,0.0011,365.6,1577,160344000,"2,00E+08"
0.11,0.0016,1970.2,0,"2,00E+08",708000
0.16,"1,00E-04",0,1951,228000,"2,00E+08"
0.16,"6,00E-04",0,1955.6,368000,"2,00E+08"
0.16,0.0011,551.8,1426.4,160128000,"2,00E+08"
0.16,0.0016,1956.8,0,"2,00E+08",868000
0.2,"1,00E-04",0,1961,216000,"2,00E+08"
0.2,"6,00E-04",0,1954,296000,"2,00E+08"
0.2,0.0011,458,1509,"2,00E+08","2,00E+08"
0.2,0.0016,1915.4,0,"2,00E+08",560000
