sd_w_in,sd_w_ex,N 1,N 2,time1,time2
0.01,0.01,1920,5247.5,"2,00E+08","2,00E+08"
0.01,0.03,0,7052.25,770000,"2,00E+08"
0.01,0.05,0,7227.75,465000,"2,00E+08"
0.01,0.07,0,6939.75,180000,"2,00E+08"
0.01,0.09,0,6893.5,205000,"2,00E+08"
0.01,0.11,0,6103.25,65000,"2,00E+08"
0.01,0.13,0,6083.25,115000,"2,00E+08"
0.01,0.15,0,5992.5,85000,"2,00E+08"
0.01,0.17,0,5423.25,50000,"2,00E+08"
0.01,0.19,0,5337,45000,"2,00E+08"
0.01,0.21,0,5207.75,55000,"2,00E+08"
0.03,0.01,1772.75,1754.5,"2,00E+08","2,00E+08"
0.03,0.03,280.25,2105.25,"2,00E+08","2,00E+08"
0.03,0.05,0,2348.75,270000,"2,00E+08"
0.03,0.07,0,2377.25,145000,"2,00E+08"
0.03,0.09,0,2387.5,105000,"2,00E+08"
0.03,0.11,0,2359.5,130000,"2,00E+08"
0.03,0.13,0,2293.5,65000,"2,00E+08"
0.03,0.15,0,2304.75,65000,"2,00E+08"
0.03,0.17,0,2249.25,55000,"2,00E+08"
0.03,0.19,0,2216.75,40000,"2,00E+08"
0.03,0.21,0,2215,45000,"2,00E+08"
0.05,0.01,1224.75,1161.75,"2,00E+08","2,00E+08"
0.05,0.03,901.5,882.25,"2,00E+08","2,00E+08"
0.05,0.05,9,1469.25,50925000,"2,00E+08"
0.05,0.07,0,1417.25,235000,"2,00E+08"
0.05,0.09,0,1454.5,170000,"2,00E+08"
0.05,0.11,0,1443.75,130000,"2,00E+08"
0.05,0.13,0,1424,105000,"2,00E+08"
0.05,0.15,0,1444.75,65000,"2,00E+08"
0.05,0.17,0,1430.5,45000,"2,00E+08"
0.05,0.19,0,1483.25,40000,"2,00E+08"
0.05,0.21,0,1459.25,50000,"2,00E+08"
0.07,0.01,981.25,925.5,"2,00E+08","2,00E+08"
0.07,0.03,778,749.75,"2,00E+08","2,00E+08"
0.07,0.05,633.25,629.5,"2,00E+08","2,00E+08"
0.07,0.07,107.75,1010.75,100640000,"2,00E+08"
0.07,0.09,0,1074.25,285000,"2,00E+08"
